address_id,address_text,city,province,postal_code,latitude,longitude
ADR00025,"Jl. Gang Cikutra Timur No. 165, RT 15/RW 07",Denpasar,Bali,32285,5.1950825,38.185593
ADR00026,"Jl. Jl. W.R. Supratman No. 195, RT 02/RW 04",Denpasar,Bali,02352,-65.1031265,87.264716
ADR00027,"Jalan Jl. Gedebage Selatan No. 7, RT 14/RW 09",Denpasar,Bali,89130,-3.420644,-140.166082
ADR00028,"Jl. Jl. Erlangga No. 134, RT 11/RW 07",Surabaya,Jawa Timur,90581,-18.7983085,66.827506
ADR00029,"Gang Jalan Rumah Sakit No. 112, RT 10/RW 03",Makassar,Sulawesi Selatan,23309,-21.392044,66.262844
ADR00030,"Gang Gang Monginsidi No. 23, RT 10/RW 09",Semarang,Jawa Tengah,43464,-2.7978225,91.65501
ADR00031,"Jalan Gg. Pasirkoja No. 189, RT 06/RW 10",Medan,Sumatera Utara,37333,-87.353165,-157.540075
ADR00032,"Jl. Jl. Pasteur No. 76, RT 01/RW 04",Makassar,Sulawesi Selatan,16623,-13.650223,170.136189
ADR00033,"Jl. Gg. Pacuan Kuda No. 55, RT 07/RW 03",Bandung,Jawa Barat,12819,-12.6569065,-173.58665
ADR00034,"Komp. Jl. Dipatiukur No. 71, RT 10/RW 02",Surabaya,Jawa Timur,95207,88.182983,89.876838
ADR00035,"Jalan Gg. Kapten Muslihat No. 115, RT 15/RW 03",Denpasar,Bali,14656,22.099836,169.682455
ADR00036,"Komp. Gg. Cihampelas No. 185, RT 03/RW 09",Denpasar,Bali,04373,32.3902785,17.234605
ADR00037,"Jl. Gg. Moch. Toha No. 6, RT 01/RW 07",Makassar,Sulawesi Selatan,35546,-45.6130745,-112.342895
ADR00038,"Gg. Gg. Erlangga No. 43, RT 08/RW 01",Bandung,Jawa Barat,60097,-7.6245235,129.861001
ADR00039,"Jl. Jl. H.J Maemunah No. 66, RT 13/RW 06",Surabaya,Jawa Timur,61935,58.9502895,-127.303669
ADR00040,"Jalan Jalan Rajawali Barat No. 45, RT 06/RW 06",Makassar,Sulawesi Selatan,85940,-74.511881,-13.126673
ADR00041,"Komp. Gang Bangka Raya No. 130, RT 09/RW 04",Semarang,Jawa Tengah,84695,-17.2967995,179.87916
ADR00042,"Jl. Gang Sukabumi No. 194, RT 10/RW 02",Bandung,Jawa Barat,75561,-46.9322375,-47.974358
ADR00043,"Jl. Jalan Cihampelas No. 56, RT 13/RW 05",Yogyakarta,DI Yogyakarta,52290,-11.1495875,-166.387389
ADR00044,"Gang Gg. Astana Anyar No. 46, RT 01/RW 03",Makassar,Sulawesi Selatan,62942,-83.7601315,-127.256246
ADR00045,"Jl. Jl. Erlangga No. 142, RT 12/RW 08",Jakarta,DKI Jakarta,20943,-21.344641,-86.553155
ADR00046,"Gang Jl. M.T Haryono No. 200, RT 05/RW 07",Bandung,Jawa Barat,41985,34.345604,64.577814
ADR00047,"Jalan Jalan Peta No. 20, RT 12/RW 06",Denpasar,Bali,37230,32.6645035,-58.723325
ADR00048,"Komp. Gang Dipenogoro No. 157, RT 11/RW 09",Yogyakarta,DI Yogyakarta,61877,-21.80189,130.245617
ADR00049,"Jalan Gang Laswi No. 123, RT 04/RW 08",Jakarta,DKI Jakarta,25853,-4.535092,-6.259305
ADR00050,"Blok Jalan Raya Setiabudhi No. 26, RT 15/RW 03",Yogyakarta,DI Yogyakarta,14360,-12.440588,-51.200301
ADR00051,"Jalan Jalan Peta No. 83, RT 03/RW 10",Denpasar,Bali,08848,18.550877,-162.509178
ADR00052,"Jl. Gang Suryakencana No. 105, RT 03/RW 04",Denpasar,Bali,44250,62.411589,24.925123
ADR00053,"Jl. Jl. Yos Sudarso No. 108, RT 09/RW 04",Semarang,Jawa Tengah,79015,5.4232925,-171.018037
ADR00054,"Perum. Gg. Kiaracondong No. 77, RT 03/RW 04",Yogyakarta,DI Yogyakarta,84545,-88.1887075,156.855445
ADR00055,"Jl. Jalan Rungkut Industri No. 148, RT 04/RW 10",Jakarta,DKI Jakarta,53704,37.2685035,40.606314
ADR00056,"Jl. Gg. Suniaraja No. 28, RT 13/RW 08",Bandung,Jawa Barat,50518,-26.3319195,-31.582058
ADR00057,"Jalan Jalan K.H. Wahid Hasyim No. 32, RT 01/RW 03",Makassar,Sulawesi Selatan,55470,-56.5853365,-31.860655
ADR00058,"Gang Gg. Asia Afrika No. 119, RT 01/RW 04",Jakarta,DKI Jakarta,36936,56.0110325,-59.247328
ADR00059,"Jalan Jalan Jakarta No. 116, RT 04/RW 08",Bandung,Jawa Barat,10454,63.1650305,98.932628
ADR00060,"Jl. Gg. Sukajadi No. 134, RT 08/RW 10",Makassar,Sulawesi Selatan,65349,-32.834891,-168.942906
ADR00061,"Gg. Gang Bangka Raya No. 130, RT 12/RW 08",Semarang,Jawa Tengah,49166,-75.541128,20.67673
ADR00062,"Blok Gang Cihampelas No. 192, RT 12/RW 10",Yogyakarta,DI Yogyakarta,90455,81.1631135,-21.207256
ADR00063,"Jalan Gg. K.H. Wahid Hasyim No. 120, RT 09/RW 01",Semarang,Jawa Tengah,31931,-48.2506975,-140.051902
ADR00064,"Jalan Jl. Gedebage Selatan No. 87, RT 05/RW 04",Jakarta,DKI Jakarta,38773,57.136381,-165.990272
ADR00065,"Jl. Gg. Yos Sudarso No. 128, RT 10/RW 06",Jakarta,DKI Jakarta,96870,21.7532045,26.999772
ADR00066,"Jl. Gang Kiaracondong No. 28, RT 15/RW 07",Denpasar,Bali,16509,55.7411255,-65.214749
ADR00067,"Jl. Jl. Kapten Muslihat No. 199, RT 15/RW 02",Medan,Sumatera Utara,72490,-60.986989,-35.344134
ADR00068,"Jl. Gg. Rajawali Timur No. 45, RT 05/RW 03",Denpasar,Bali,93469,48.6907995,142.835013
ADR00069,"Jl. Gang Kapten Muslihat No. 162, RT 13/RW 04",Jakarta,DKI Jakarta,84395,-32.3741595,81.534457
ADR00070,"Komp. Gg. M.T Haryono No. 86, RT 07/RW 05",Medan,Sumatera Utara,15358,-14.4835435,126.584213
ADR00071,"Jl. Jalan Asia Afrika No. 115, RT 02/RW 04",Denpasar,Bali,32302,-87.07099,-120.057552
ADR00072,"Jl. Gg. Kapten Muslihat No. 60, RT 11/RW 02",Makassar,Sulawesi Selatan,01738,5.253973,-6.437876
ADR00073,"Komp. Gang Setiabudhi No. 38, RT 14/RW 02",Bandung,Jawa Barat,51817,11.1735105,-130.776828
ADR00074,"Jalan Jalan Sukajadi No. 134, RT 12/RW 09",Denpasar,Bali,24436,42.7347955,76.343166
ADR00075,"Jalan Gg. Medokan Ayu No. 122, RT 03/RW 05",Medan,Sumatera Utara,10800,79.565217,-84.074088
ADR00076,"Jl. Gang Wonoayu No. 89, RT 13/RW 04",Medan,Sumatera Utara,35974,51.216714,138.171375
ADR00077,"Gang Gang Pasteur No. 190, RT 06/RW 01",Surabaya,Jawa Timur,52753,-65.7802025,57.914087
ADR00078,"Jl. Jalan Abdul Muis No. 72, RT 09/RW 05",Semarang,Jawa Tengah,37256,2.359041,26.642597
ADR00079,"Jalan Jl. Yos Sudarso No. 98, RT 04/RW 06",Semarang,Jawa Tengah,43488,73.1779455,-140.172602
ADR00080,"Jalan Jl. Astana Anyar No. 96, RT 03/RW 08",Jakarta,DKI Jakarta,24201,-54.4200465,61.185633
ADR00081,"Jl. Gang Astana Anyar No. 10, RT 04/RW 09",Makassar,Sulawesi Selatan,62595,36.3949995,112.079114
ADR00082,"Gg. Gang Rajawali Barat No. 63, RT 05/RW 08",Jakarta,DKI Jakarta,12848,-12.9487365,-86.236415
ADR00083,"Jl. Gg. Jend. Sudirman No. 160, RT 04/RW 02",Semarang,Jawa Tengah,42194,-75.2448675,173.997146
ADR00084,"Jl. Gang Stasiun Wonokromo No. 38, RT 13/RW 09",Denpasar,Bali,36716,-71.184324,158.541751
ADR00085,"Jl. Gang Kutai No. 158, RT 14/RW 06",Denpasar,Bali,26382,31.177421,139.136502
ADR00086,"Gang Jalan Rajawali Timur No. 70, RT 13/RW 02",Makassar,Sulawesi Selatan,50973,-33.35817,-74.929602
ADR00087,"Komp. Gg. Cihampelas No. 61, RT 15/RW 09",Bandung,Jawa Barat,82429,56.73582,13.424828
ADR00088,"Blok Gg. Cikutra Barat No. 62, RT 15/RW 07",Semarang,Jawa Tengah,97344,-7.9057655,29.314944
ADR00089,"Jalan Gg. Sukajadi No. 77, RT 09/RW 04",Bandung,Jawa Barat,74965,62.3793665,-114.91381
ADR00090,"Jl. Jl. Ciwastra No. 127, RT 12/RW 01",Yogyakarta,DI Yogyakarta,15221,77.779338,105.153263
ADR00091,"Jl. Gg. Indragiri No. 136, RT 07/RW 07",Denpasar,Bali,88123,24.2578545,121.128887
ADR00092,"Jl. Gang BKR No. 17, RT 14/RW 05",Yogyakarta,DI Yogyakarta,32351,-70.80612,-47.715402
ADR00093,"Jalan Jalan Jend. Sudirman No. 46, RT 03/RW 08",Bandung,Jawa Barat,49457,-84.826882,-67.776086
ADR00094,"Jl. Gg. Surapati No. 30, RT 12/RW 04",Denpasar,Bali,01324,36.117434,-151.088309
ADR00095,"Jalan Jalan Cikutra Barat No. 179, RT 05/RW 10",Bandung,Jawa Barat,41423,27.8265775,12.251323
ADR00096,"Jalan Gang Sadang Serang No. 124, RT 09/RW 08",Denpasar,Bali,51733,-88.641242,-143.931291
ADR00097,"Jl. Gang Pasirkoja No. 186, RT 02/RW 03",Semarang,Jawa Tengah,65781,9.740965,122.490454
ADR00098,"Jalan Gg. Suniaraja No. 183, RT 12/RW 02",Yogyakarta,DI Yogyakarta,51728,13.855212,-45.485347
ADR00099,"Perum. Jl. Lembong No. 143, RT 11/RW 09",Makassar,Sulawesi Selatan,01714,39.8448905,-94.023878
ADR00100,"Jl. Jl. Rungkut Industri No. 91, RT 01/RW 10",Medan,Sumatera Utara,53196,-4.804417,-136.329787
ADR00101,"Jl. Gang PHH. Mustofa No. 145, RT 11/RW 03",Jakarta,DKI Jakarta,80540,-82.5107885,98.647509
ADR00102,"Jl. Jalan M.T Haryono No. 157, RT 10/RW 02",Jakarta,DKI Jakarta,94207,75.319853,33.607904
ADR00103,"Gang Jl. Medokan Ayu No. 168, RT 01/RW 04",Medan,Sumatera Utara,98965,64.660512,-137.179696
ADR00104,"Gang Jl. Dr. Djunjunan No. 32, RT 08/RW 07",Surabaya,Jawa Timur,08781,-0.478556,60.335284
ADR00105,"Jalan Jalan W.R. Supratman No. 34, RT 13/RW 03",Denpasar,Bali,16567,-76.8133205,128.856823
ADR00106,"Perum. Gang Yos Sudarso No. 6, RT 13/RW 05",Jakarta,DKI Jakarta,16820,-35.962092,118.860993
ADR00107,"Jalan Jalan Suryakencana No. 9, RT 05/RW 05",Makassar,Sulawesi Selatan,79401,0.5076295,-25.139597
ADR00108,"Jl. Gg. Asia Afrika No. 75, RT 07/RW 01",Bandung,Jawa Barat,89851,-61.630166,111.637271
ADR00109,"Gg. Jl. Sukabumi No. 76, RT 14/RW 07",Denpasar,Bali,87348,-75.0698385,120.377128
ADR00110,"Jl. Jalan Pasir Koja No. 64, RT 13/RW 08",Surabaya,Jawa Timur,67571,12.178242,126.739383
ADR00111,"Jl. Gang Astana Anyar No. 166, RT 12/RW 03",Makassar,Sulawesi Selatan,31342,13.3415005,120.745658
ADR00112,"Jl. Gg. Kutai No. 13, RT 13/RW 05",Surabaya,Jawa Timur,71395,34.549052,-168.239464
ADR00113,"Jl. Jl. W.R. Supratman No. 116, RT 15/RW 08",Semarang,Jawa Tengah,51224,79.1505325,-146.704178
ADR00114,"Komp. Jl. M.T Haryono No. 20, RT 13/RW 07",Semarang,Jawa Tengah,89303,54.2171665,-118.104475
ADR00115,"Komp. Gang Suniaraja No. 124, RT 04/RW 05",Semarang,Jawa Tengah,40962,23.4128345,-102.576929
ADR00116,"Jl. Jl. Sentot Alibasa No. 179, RT 09/RW 09",Medan,Sumatera Utara,37621,-88.5119595,123.549612
ADR00117,"Gang Jalan K.H. Wahid Hasyim No. 67, RT 01/RW 09",Jakarta,DKI Jakarta,27206,16.5422505,68.572189
ADR00118,"Jl. Gang Indragiri No. 19, RT 15/RW 01",Medan,Sumatera Utara,59730,-25.439715,65.250721
ADR00119,"Perum. Jalan Waringin No. 38, RT 12/RW 10",Semarang,Jawa Tengah,50883,-88.9306865,35.10676
ADR00120,"Jl. Gg. M.T Haryono No. 111, RT 09/RW 10",Yogyakarta,DI Yogyakarta,70496,41.0270215,-100.025159
ADR00121,"Gang Jalan Cihampelas No. 191, RT 12/RW 02",Surabaya,Jawa Timur,91637,75.298895,100.798425
ADR00122,"Jalan Jl. Pasteur No. 19, RT 09/RW 06",Surabaya,Jawa Timur,20288,59.433368,-89.402255
ADR00123,"Jalan Gg. Ahmad Yani No. 83, RT 14/RW 02",Yogyakarta,DI Yogyakarta,08770,-71.4532565,-10.345973
ADR00124,"Gang Gg. Jend. Sudirman No. 101, RT 03/RW 04",Semarang,Jawa Tengah,43102,76.600265,127.90464
ADR00125,"Jl. Jl. Dipenogoro No. 184, RT 07/RW 08",Bandung,Jawa Barat,36740,-80.4606805,136.044754
ADR00126,"Blok Gg. Otto Iskandardinata No. 27, RT 09/RW 05",Yogyakarta,DI Yogyakarta,27098,-32.2211215,-122.092714
ADR00127,"Gang Jl. Moch. Toha No. 43, RT 06/RW 09",Surabaya,Jawa Timur,30714,55.285209,115.668306
ADR00128,"Gg. Jl. Rumah Sakit No. 184, RT 13/RW 02",Surabaya,Jawa Timur,50827,80.978992,12.26946
ADR00129,"Jalan Gang M.H Thamrin No. 33, RT 06/RW 08",Bandung,Jawa Barat,97488,-9.774348,43.497388
ADR00130,"Jalan Gang R.E Martadinata No. 141, RT 06/RW 10",Yogyakarta,DI Yogyakarta,23286,-21.8259825,-91.371897
ADR00131,"Komp. Jalan Rajawali Barat No. 47, RT 12/RW 09",Denpasar,Bali,47174,-52.769914,27.685352
ADR00132,"Jl. Gang Cikapayang No. 43, RT 15/RW 04",Semarang,Jawa Tengah,61245,-83.1558065,-135.218564
ADR00133,"Jalan Gg. Otto Iskandardinata No. 161, RT 07/RW 08",Makassar,Sulawesi Selatan,12418,-61.79031,-125.652645
ADR00134,"Jl. Jalan Erlangga No. 63, RT 09/RW 09",Denpasar,Bali,21096,73.8578005,168.59686
ADR00135,"Jl. Gg. K.H. Wahid Hasyim No. 176, RT 03/RW 02",Bandung,Jawa Barat,68472,-85.017888,-95.993947
ADR00136,"Perum. Gg. Kebonjati No. 72, RT 07/RW 09",Semarang,Jawa Tengah,41092,-14.505975,-42.09673
ADR00137,"Perum. Jl. Indragiri No. 173, RT 14/RW 03",Semarang,Jawa Tengah,40568,14.8431475,-26.782973
ADR00138,"Komp. Gg. Gedebage Selatan No. 7, RT 14/RW 01",Denpasar,Bali,24727,-33.9889985,-143.33769
ADR00139,"Gg. Jalan Bangka Raya No. 10, RT 06/RW 08",Yogyakarta,DI Yogyakarta,44620,-33.4207245,57.787241
ADR00140,"Gang Gang Setiabudhi No. 60, RT 02/RW 10",Bandung,Jawa Barat,19916,38.011979,-72.646199
ADR00141,"Perum. Jalan Medokan Ayu No. 2, RT 10/RW 02",Medan,Sumatera Utara,42114,-83.3598235,68.86769
ADR00142,"Jl. Jl. Bangka Raya No. 177, RT 13/RW 08",Medan,Sumatera Utara,49290,42.772189,-149.234457
ADR00143,"Jalan Jl. Ahmad Yani No. 101, RT 04/RW 02",Surabaya,Jawa Timur,27134,-51.620424,-20.204583
ADR00144,"Jl. Jalan Veteran No. 78, RT 01/RW 10",Yogyakarta,DI Yogyakarta,92225,29.479632,-127.780314
ADR00145,"Jl. Gang Cikapayang No. 64, RT 02/RW 09",Denpasar,Bali,48952,-19.2389705,-117.078165
ADR00146,"Jl. Jalan KH Amin Jasuta No. 125, RT 12/RW 02",Bandung,Jawa Barat,56466,-31.4256255,144.010813
ADR00147,"Jl. Jalan S. Parman No. 110, RT 14/RW 10",Makassar,Sulawesi Selatan,12063,-25.305584,9.981322
ADR00148,"Perum. Gang KH Amin Jasuta No. 46, RT 04/RW 05",Denpasar,Bali,94975,18.6522255,67.273267
ADR00149,"Jl. Gang Pelajar Pejuang No. 81, RT 03/RW 07",Bandung,Jawa Barat,67667,-21.3949065,128.710413
ADR00150,"Komp. Jl. Rajawali Barat No. 112, RT 15/RW 07",Yogyakarta,DI Yogyakarta,69403,-45.4312775,-17.995765
ADR00151,"Jl. Jl. Gardujati No. 8, RT 13/RW 06",Bandung,Jawa Barat,45324,-12.985766,160.747197
ADR00152,"Jl. Jl. Rajawali Timur No. 176, RT 09/RW 07",Medan,Sumatera Utara,10049,47.893199,-77.109233
ADR00153,"Jl. Jalan Cikapayang No. 31, RT 15/RW 05",Denpasar,Bali,81983,23.4055055,16.346618
ADR00154,"Jalan Gg. Surapati No. 117, RT 06/RW 02",Makassar,Sulawesi Selatan,59183,39.1911595,41.587122
ADR00155,"Jl. Jalan Wonoayu No. 180, RT 05/RW 10",Semarang,Jawa Tengah,90057,54.6621705,-63.696644
ADR00156,"Gang Jalan Asia Afrika No. 23, RT 06/RW 08",Surabaya,Jawa Timur,75095,-74.18506,173.193816
ADR00157,"Jl. Gg. Pasteur No. 165, RT 10/RW 02",Jakarta,DKI Jakarta,13640,-56.2345785,146.210178
ADR00158,"Jalan Jalan Jakarta No. 42, RT 11/RW 08",Makassar,Sulawesi Selatan,85950,-38.6742205,-126.511755
ADR00159,"Jl. Jl. Siliwangi No. 73, RT 04/RW 02",Surabaya,Jawa Timur,95995,63.14606,-87.197883
ADR00160,"Komp. Jalan Rungkut Industri No. 56, RT 13/RW 02",Makassar,Sulawesi Selatan,16655,-31.8251875,23.516241
ADR00161,"Jl. Jl. R.E Martadinata No. 72, RT 01/RW 06",Jakarta,DKI Jakarta,17032,57.0853065,-156.254268
ADR00162,"Gang Jl. Setiabudhi No. 113, RT 07/RW 03",Denpasar,Bali,83614,-18.1893725,154.109325
ADR00163,"Jl. Gg. Indragiri No. 2, RT 10/RW 06",Bandung,Jawa Barat,16514,56.4100825,-115.223114
ADR00164,"Jl. Jl. PHH. Mustofa No. 28, RT 01/RW 04",Makassar,Sulawesi Selatan,87261,-58.2665475,85.012194
ADR00165,"Jl. Gg. Antapani Lama No. 56, RT 03/RW 04",Denpasar,Bali,15384,3.9780255,-157.677313
ADR00166,"Jalan Gg. Raya Ujungberung No. 156, RT 15/RW 10",Jakarta,DKI Jakarta,73131,-49.2467785,-117.063889
ADR00167,"Jl. Jl. K.H. Wahid Hasyim No. 131, RT 02/RW 07",Bandung,Jawa Barat,34666,-55.603367,144.617975
ADR00168,"Jalan Jl. Sukabumi No. 141, RT 07/RW 03",Medan,Sumatera Utara,15394,-20.778751,-172.233088
ADR00169,"Jalan Jalan Ciumbuleuit No. 47, RT 04/RW 10",Semarang,Jawa Tengah,61205,58.50113,-32.240387
ADR00170,"Jl. Gang Cihampelas No. 132, RT 11/RW 09",Jakarta,DKI Jakarta,39360,-82.5255475,77.447235
ADR00171,"Jl. Jalan Kiaracondong No. 42, RT 06/RW 07",Denpasar,Bali,53336,76.9376485,-32.189688
ADR00172,"Jl. Gg. Sentot Alibasa No. 189, RT 10/RW 01",Semarang,Jawa Tengah,80075,13.7561935,17.310999
ADR00173,"Jl. Gg. Raya Ujungberung No. 72, RT 12/RW 09",Jakarta,DKI Jakarta,83868,10.8534025,-132.637465
ADR00174,"Gg. Jl. Sadang Serang No. 119, RT 13/RW 08",Bandung,Jawa Barat,90507,-34.77452,-157.498627
ADR00175,"Jl. Gg. Gegerkalong Hilir No. 60, RT 10/RW 07",Denpasar,Bali,85636,24.3747355,36.803607
ADR00176,"Gang Jalan Dipenogoro No. 154, RT 12/RW 02",Medan,Sumatera Utara,96286,-23.685296,-70.340576
ADR00177,"Gang Gang Rajawali Timur No. 179, RT 11/RW 10",Makassar,Sulawesi Selatan,01121,-12.86691,-74.312715
ADR00178,"Gang Jalan Wonoayu No. 165, RT 11/RW 03",Semarang,Jawa Tengah,94272,47.3695735,-99.955574
ADR00179,"Gang Gg. Veteran No. 108, RT 02/RW 10",Medan,Sumatera Utara,96040,-42.848213,118.104377
ADR00180,"Jl. Gang Rajawali Timur No. 96, RT 15/RW 01",Bandung,Jawa Barat,70648,-68.884295,-69.600103
ADR00181,"Gg. Gg. Yos Sudarso No. 74, RT 13/RW 01",Surabaya,Jawa Timur,99244,-54.9178525,-55.55936
ADR00182,"Jl. Jalan Surapati No. 8, RT 02/RW 07",Bandung,Jawa Barat,39393,88.8885905,153.743193
ADR00183,"Jl. Jalan Suniaraja No. 114, RT 05/RW 08",Denpasar,Bali,63823,76.479941,-121.132293
ADR00184,"Komp. Gg. Waringin No. 29, RT 14/RW 10",Jakarta,DKI Jakarta,45456,-86.0119325,-76.864831
ADR00185,"Jalan Gg. S. Parman No. 55, RT 13/RW 03",Surabaya,Jawa Timur,59279,70.289427,-13.263824
ADR00186,"Jl. Jl. Rungkut Industri No. 68, RT 08/RW 04",Yogyakarta,DI Yogyakarta,45482,33.643004,86.002662
ADR00187,"Jl. Gg. Rungkut Industri No. 101, RT 14/RW 06",Surabaya,Jawa Timur,19941,-28.981982,34.353017
ADR00188,"Gang Gang Tebet Barat Dalam No. 32, RT 01/RW 05",Semarang,Jawa Tengah,72911,55.5941805,89.763311
ADR00189,"Jalan Gang Cihampelas No. 34, RT 10/RW 03",Denpasar,Bali,47082,-36.561592,-132.74034
ADR00190,"Perum. Jalan Waringin No. 63, RT 13/RW 08",Medan,Sumatera Utara,58828,-20.6288015,-39.139794
ADR00191,"Gg. Gg. Gedebage Selatan No. 43, RT 05/RW 05",Denpasar,Bali,45591,-42.820652,111.364612
ADR00192,"Komp. Jalan Jamika No. 71, RT 09/RW 07",Surabaya,Jawa Timur,74475,23.740404,-56.970992
ADR00193,"Jalan Gang Gedebage Selatan No. 29, RT 13/RW 05",Jakarta,DKI Jakarta,70470,-45.966615,-76.466656
ADR00194,"Jalan Jalan Suryakencana No. 143, RT 10/RW 01",Semarang,Jawa Tengah,50682,-60.2134605,-106.287327
ADR00195,"Jalan Jl. Soekarno Hatta No. 11, RT 02/RW 08",Bandung,Jawa Barat,39795,-67.7297695,154.173517
ADR00196,"Gang Jalan Pasirkoja No. 143, RT 04/RW 01",Yogyakarta,DI Yogyakarta,24055,45.9423625,124.081874
ADR00197,"Gang Jalan Moch. Ramdan No. 170, RT 03/RW 08",Denpasar,Bali,91998,48.895937,-11.225936
ADR00198,"Komp. Jalan Jend. A. Yani No. 21, RT 02/RW 04",Jakarta,DKI Jakarta,97702,7.9725455,158.603004
ADR00199,"Gg. Gang Stasiun Wonokromo No. 172, RT 02/RW 02",Surabaya,Jawa Timur,54220,-3.724377,-21.929361
ADR00200,"Jalan Jalan Joyoboyo No. 59, RT 04/RW 10",Surabaya,Jawa Timur,29896,30.240946,-52.055304
ADR00201,"Blok Gg. Tebet Barat Dalam No. 94, RT 15/RW 08",Jakarta,DKI Jakarta,70632,-34.675389,-152.533025
ADR00202,"Jl. Jl. Cempaka No. 151, RT 02/RW 05",Jakarta,DKI Jakarta,95576,-39.286571,-108.82719
ADR00203,"Gang Jalan Suniaraja No. 162, RT 15/RW 05",Makassar,Sulawesi Selatan,21567,-17.5361335,119.307839
ADR00204,"Jalan Jalan Yos Sudarso No. 23, RT 11/RW 10",Yogyakarta,DI Yogyakarta,70303,21.083587,31.083231
ADR00205,"Jl. Gg. Otto Iskandardinata No. 127, RT 07/RW 08",Denpasar,Bali,26871,32.508385,-0.914927
ADR00206,"Jl. Jalan Rumah Sakit No. 49, RT 08/RW 01",Semarang,Jawa Tengah,18865,56.6181055,-5.105327
ADR00207,"Gg. Jl. S. Parman No. 8, RT 09/RW 07",Surabaya,Jawa Timur,61727,-16.8098045,44.042254
ADR00208,"Gang Jl. Pacuan Kuda No. 114, RT 15/RW 02",Jakarta,DKI Jakarta,10588,-43.673189,103.541879
ADR00209,"Jalan Jalan Moch. Toha No. 146, RT 02/RW 02",Bandung,Jawa Barat,17199,-17.7266555,123.73737
ADR00210,"Gg. Gang Sadang Serang No. 170, RT 09/RW 05",Makassar,Sulawesi Selatan,09706,-18.233899,174.862294
ADR00211,"Jalan Jalan Waringin No. 188, RT 13/RW 10",Yogyakarta,DI Yogyakarta,25346,-61.444607,-127.942498
ADR00212,"Jalan Gang Medokan Ayu No. 146, RT 14/RW 05",Denpasar,Bali,24027,60.3616205,-80.944513
ADR00213,"Gang Jl. Siliwangi No. 75, RT 03/RW 04",Surabaya,Jawa Timur,13083,69.588392,8.307292
